date,temp,rain,wind_spd,wind_dir,humid,vaper_press,dew_point,local_press,sea_press,sunshine,insolation,snow,cloud,low-mid_cloud,visibility,ground_temp,phenomena,count
2020-01-01 08:00:00,-4.6,0.0,1.8,50,64,2.8,-10.3,1021.7,1032.9,0.0,0.0,0.0,9,9,1684,-1.9,00000005,4
2020-01-01 09:00:00,-4.3,0.0,2.3,50,70,3.1,-8.9,1022.2,1033.4,0.0,0.04,0.0,9,9,736,-1.6,00004005,10
2020-01-01 10:00:00,-4.2,0.0,1.9,70,76,3.4,-7.8,1022.8,1034.0,0.0,0.17,0.0,9,9,418,-1.1,00401905,3
2020-01-01 11:00:00,-3.4,0.0,1.5,70,75,3.6,-7.2,1022.4,1033.5,0.0,0.41,0.0,9,9,613,-0.4,00001905,4
2020-01-01 12:00:00,-2.2,0.1,1.7,50,72,3.8,-6.5,1021.4,1032.4,0.5,1.0,0.0,9,9,1117,-0.1,00001905,5
2020-01-01 13:00:00,-1.0,0.1,1.6,90,67,3.8,-6.3,1020.6,1031.6,0.0,0.93,0.0,9,9,1209,0.4,00000000,8
2020-01-01 14:00:00,-0.4,0.1,1.2,90,65,3.9,-6.1,1020.5,1031.5,0.0,0.89,0.0,9,9,1226,0.4,00000000,12
2020-01-01 15:00:00,0.3,0.1,0.0,0,62,3.9,-6.1,1020.4,1031.3,0.3,0.68,0.0,9,9,1179,0.8,00000000,11
2020-01-01 16:00:00,0.3,0.1,0.0,0,64,4.0,-5.7,1020.8,1031.7,0.0,0.32,0.0,9,9,1137,0.1,00000000,8
2020-01-01 17:00:00,0.2,0.1,0.9,290,65,4.0,-5.6,1020.8,1031.7,0.0,0.09,0.0,9,9,1128,-0.2,00000000,5
2020-01-01 18:00:00,0.1,0.1,0.8,50,66,4.1,-5.5,1020.8,1031.8,0.0,0.0,0.0,9,9,1084,-0.1,00000000,1
2020-01-01 19:00:00,0.1,0.1,0.3,0,65,4.0,-5.7,1020.8,1031.8,0.0,0.0,0.0,9,9,1055,-0.1,00000000,2
2020-01-01 20:00:00,0.0,0.1,1.7,70,67,4.1,-5.4,1020.5,1031.5,0.0,0.0,0.0,9,9,1005,-0.1,00000000,1
2020-01-01 22:00:00,-0.9,0.1,1.5,50,71,4.1,-5.5,1020.8,1031.8,0.0,0.0,0.0,8,8,897,-0.3,00000040,2
2020-01-01 23:00:00,-0.9,0.1,1.0,50,70,4.0,-5.6,1021.0,1032.0,0.0,0.0,0.0,9,9,895,-0.3,00000040,1
2020-01-02 07:00:00,-0.5,0.1,1.9,50,65,3.8,-6.2,1019.6,1030.6,0.0,0.0,0.0,9,9,993,-0.6,00000040,13
2020-01-02 08:00:00,-0.4,0.1,2.3,70,67,4.0,-5.7,1019.6,1030.5,0.0,0.0,0.0,9,9,907,-0.6,00000040,11
2020-01-02 09:00:00,-0.1,0.1,2.4,70,67,4.1,-5.5,1020.1,1031.1,0.0,0.07,0.0,9,9,890,-0.3,00000040,8
2020-01-02 10:00:00,0.7,0.1,2.0,50,62,4.0,-5.7,1020.1,1031.0,0.0,0.28,0.0,9,9,876,-0.2,00000040,11
2020-01-02 11:00:00,1.7,0.1,2.0,50,57,3.9,-5.9,1019.9,1030.8,0.0,0.59,0.0,9,9,854,0.0,00000040,9
2020-01-02 12:00:00,2.5,0.1,1.0,50,56,4.1,-5.4,1019.0,1029.8,0.0,0.64,0.0,9,9,803,0.9,00000040,9
2020-01-02 13:00:00,3.4,0.1,1.8,200,56,4.4,-4.5,1017.9,1028.7,0.0,0.67,0.0,9,9,720,1.7,00000040,7
2020-01-02 14:00:00,3.7,0.1,2.3,290,58,4.6,-3.8,1017.5,1028.2,0.0,0.45,0.0,9,9,788,1.3,00000040,9
2020-01-02 15:00:00,3.8,0.1,2.8,290,58,4.6,-3.7,1017.8,1028.5,0.0,0.4,0.0,9,9,699,1.5,00000040,14
2020-01-02 16:00:00,3.7,0.1,2.5,290,58,4.6,-3.8,1017.9,1028.7,0.0,0.27,0.0,9,9,641,1.0,00000040,4
2020-01-02 17:00:00,3.3,0.1,3.1,270,62,4.8,-3.2,1017.9,1028.7,0.0,0.1,0.0,9,9,603,0.5,00000040,1
2020-01-02 18:00:00,2.7,0.1,2.2,270,61,4.5,-4.0,1017.5,1028.3,0.0,0.0,0.0,7,7,642,-0.7,00000040,1
2020-01-02 19:00:00,2.0,0.1,2.0,290,64,4.5,-4.1,1017.8,1028.6,0.0,0.0,0.0,0,0,625,-0.1,00000040,1
2020-01-02 20:00:00,1.2,0.1,0.7,320,66,4.4,-4.4,1018.0,1028.9,0.0,0.0,0.0,0,0,570,-0.3,00000040,1
2020-01-03 01:00:00,-0.5,0.1,1.4,290,78,4.6,-3.8,1017.8,1028.7,0.0,0.0,0.0,2,2,406,-1.0,00000040,1
2020-01-03 06:00:00,-2.5,0.1,2.4,290,85,4.3,-4.6,1017.0,1028.0,0.0,0.0,0.0,0,0,289,-2.0,00000019,3
2020-01-03 07:00:00,-3.0,0.1,1.4,290,86,4.2,-5.0,1016.9,1027.9,0.0,0.0,0.0,0,0,277,-2.4,00000019,2
2020-01-03 08:00:00,-3.3,0.1,1.7,270,86,4.1,-5.3,1017.0,1028.0,0.0,0.0,0.0,0,0,302,-2.6,00000019,4
2020-01-03 09:00:00,-2.6,0.1,2.2,290,74,3.7,-6.6,1017.3,1028.3,0.7,0.3,0.0,0,0,465,-1.9,00000019,12
2020-01-03 10:00:00,-1.0,0.1,2.2,320,60,3.4,-7.7,1018.0,1029.0,1.0,0.86,0.0,0,0,638,-0.9,00004019,13
2020-01-03 11:00:00,0.1,0.1,3.2,320,48,3.0,-9.6,1017.6,1028.5,1.0,1.32,0.0,0,0,1019,-0.3,00000040,5
2020-01-03 12:00:00,1.7,0.1,2.4,320,42,2.9,-9.8,1017.3,1028.1,1.0,1.62,0.0,0,0,808,0.2,00000040,1
2020-01-03 13:00:00,2.9,0.1,2.0,270,35,2.6,-11.0,1016.1,1026.9,1.0,1.69,0.0,0,0,878,1.4,00000040,3
2020-01-03 14:00:00,4.0,0.1,3.1,270,30,2.4,-12.0,1015.3,1026.0,1.0,1.7,0.0,0,0,1357,3.1,00000040,8
2020-01-03 15:00:00,4.1,0.1,2.9,290,28,2.3,-12.8,1015.3,1026.0,1.0,1.36,0.0,0,0,1257,2.8,00000000,4
2020-01-03 16:00:00,4.3,0.1,2.1,340,30,2.5,-11.7,1015.6,1026.3,1.0,0.89,0.0,0,0,1299,1.7,00000000,2
2020-01-03 17:00:00,3.3,0.1,2.2,320,35,2.7,-10.7,1015.3,1026.0,1.0,0.35,0.0,0,0,1184,0.2,00000000,7
2020-01-03 18:00:00,2.2,0.1,1.3,320,38,2.7,-10.6,1015.6,1026.4,0.1,0.01,0.0,0,0,1196,0.0,00000000,6
2020-01-03 19:00:00,1.3,0.1,1.8,290,39,2.6,-11.1,1016.2,1027.0,0.0,0.0,0.0,0,0,1305,-0.4,00000000,3
2020-01-03 20:00:00,0.6,0.1,1.2,320,43,2.8,-10.5,1016.3,1027.2,0.0,0.0,0.0,0,0,1182,-0.6,00000000,3
2020-01-03 21:00:00,-0.5,0.1,1.2,270,48,2.8,-10.1,1016.3,1027.2,0.0,0.0,0.0,0,0,1141,-0.8,00000000,1
2020-01-04 07:00:00,-1.8,0.1,1.6,50,62,3.3,-8.1,1014.3,1025.3,0.0,0.0,0.0,8,8,861,-1.3,00000040,4
2020-01-04 08:00:00,-1.8,0.1,1.1,70,63,3.4,-7.9,1014.5,1025.5,0.0,0.0,0.0,9,9,869,-1.5,00000040,4
2020-01-04 09:00:00,-1.5,0.1,1.6,50,62,3.4,-7.8,1015.3,1026.2,0.0,0.11,0.0,8,8,797,-1.1,00000040,9
2020-01-04 10:00:00,0.1,0.1,1.2,50,54,3.3,-8.1,1015.6,1026.5,0.8,0.61,0.0,7,7,752,-0.4,00000040,10
2020-01-04 11:00:00,2.0,0.1,1.3,50,49,3.5,-7.6,1015.4,1026.2,1.0,1.16,0.0,0,0,723,-0.1,00000040,6
2020-01-04 12:00:00,4.2,0.1,2.8,340,51,4.2,-5.0,1014.8,1025.5,1.0,1.5,0.0,0,0,897,0.4,00000040,4
2020-01-04 13:00:00,5.0,0.1,2.9,320,42,3.7,-6.8,1014.2,1024.9,1.0,1.68,0.0,0,0,1027,2.4,00000040,7
2020-01-04 14:00:00,5.6,0.1,4.0,340,40,3.6,-6.9,1014.0,1024.7,1.0,1.62,0.0,0,0,1198,4.0,00000000,3
2020-01-04 15:00:00,6.1,0.1,2.2,320,33,3.1,-9.0,1014.2,1024.8,1.0,1.35,0.0,0,0,1429,4.2,00000000,8
2020-01-04 16:00:00,5.6,0.1,3.4,340,34,3.1,-9.0,1014.5,1025.2,1.0,0.89,0.0,0,0,1436,2.6,00000000,14
2020-01-04 17:00:00,4.7,0.1,3.5,290,36,3.1,-9.1,1014.9,1025.6,1.0,0.35,0.0,0,0,1322,0.5,00000000,2
2020-01-04 18:00:00,3.6,0.1,1.5,270,41,3.2,-8.4,1015.5,1026.2,0.1,0.02,0.0,0,0,1247,0.1,00000000,6
2020-01-04 19:00:00,2.7,0.1,0.8,290,44,3.3,-8.3,1016.0,1026.8,0.0,0.0,0.0,0,0,1121,-0.1,00000000,2
2020-01-04 20:00:00,1.8,0.1,0.5,20,45,3.1,-8.8,1016.5,1027.3,0.0,0.0,0.0,0,0,1145,-0.5,00000000,1
2020-01-05 08:00:00,-3.1,0.1,1.0,50,61,3.0,-9.5,1020.3,1031.4,0.0,0.0,0.0,0,0,1051,-3.7,00000000,5
2020-01-05 09:00:00,-2.7,0.1,0.7,50,58,2.9,-9.8,1020.9,1032.0,0.9,0.28,0.0,0,0,941,-2.8,00000040,7
2020-01-05 10:00:00,-0.6,0.1,0.8,20,50,2.9,-9.7,1021.6,1032.6,1.0,0.87,0.0,0,0,816,-1.3,00000040,11
2020-01-05 11:00:00,2.1,0.1,0.7,110,42,3.0,-9.5,1021.2,1032.1,1.0,1.38,0.0,0,0,906,-0.3,00000040,6
2020-01-05 12:00:00,4.0,0.1,1.1,70,35,2.8,-10.1,1020.5,1031.3,1.0,1.66,0.0,1,0,1050,0.3,00000040,4
2020-01-05 13:00:00,5.5,0.1,0.8,110,33,3.0,-9.5,1019.5,1030.2,1.0,1.66,0.0,6,0,935,1.8,00000040,3
2020-01-05 14:00:00,6.0,0.1,1.8,230,32,3.0,-9.4,1019.3,1030.0,1.0,1.47,0.0,8,0,1138,3.4,00000040,10
2020-01-05 15:00:00,6.5,0.1,0.9,230,30,2.9,-9.8,1019.2,1029.9,1.0,1.0,0.0,8,0,1095,3.0,00000000,11
2020-01-05 16:00:00,5.9,0.1,1.2,250,29,2.7,-10.8,1019.5,1030.2,0.2,0.56,0.0,8,0,1331,2.1,00000000,7
2020-01-05 17:00:00,5.0,0.1,1.1,230,30,2.6,-11.1,1020.0,1030.7,0.0,0.22,0.0,9,0,1298,0.6,00000000,4
2020-01-05 18:00:00,4.0,0.1,0.3,0,37,3.0,-9.4,1020.1,1030.9,0.0,0.0,0.0,9,0,1128,0.0,00000000,5
2020-01-05 20:00:00,2.9,0.1,1.0,50,42,3.2,-8.7,1019.8,1030.6,0.0,0.0,0.0,10,9,1006,0.0,00000000,1
2020-01-07 06:00:00,5.5,7.4,3.3,70,95,8.5,4.7,1006.0,1016.6,0.0,0.0,0.0,10,8,698,4.2,00001901,3
2020-01-07 07:00:00,5.6,7.4,3.4,90,95,8.6,4.8,1005.9,1016.5,0.0,0.0,0.0,10,6,552,4.3,00001901,6
2020-01-07 08:00:00,5.6,7.4,3.8,70,95,8.6,4.8,1005.9,1016.5,0.0,0.0,0.0,10,7,570,4.4,00001901,12
2020-01-07 09:00:00,5.8,6.5,3.6,90,94,8.7,4.9,1005.9,1016.5,0.0,0.01,0.0,10,6,994,4.7,00001901,12
2020-01-07 10:00:00,6.0,6.5,4.0,70,94,8.8,5.1,1005.3,1015.8,0.0,0.06,0.0,10,7,1347,4.9,00001901,10
2020-01-07 11:00:00,6.3,6.5,4.1,70,93,8.8,5.2,1004.3,1014.8,0.0,0.15,0.0,10,7,615,5.6,00001901,8
2020-01-07 13:00:00,6.6,2.4,2.9,70,95,9.2,5.8,1001.7,1012.2,0.0,0.12,0.0,10,8,397,6.1,00001901,10
2020-01-07 14:00:00,6.7,2.4,3.6,70,95,9.3,5.9,999.8,1010.2,0.0,0.11,0.0,10,8,439,6.2,00001901,12
2020-01-07 15:00:00,6.5,4.6,4.0,70,95,9.2,5.7,999.0,1009.4,0.0,0.08,0.0,10,8,382,6.0,00001901,2
2020-01-07 16:00:00,6.7,4.6,4.8,70,96,9.4,6.1,997.6,1008.0,0.0,0.04,0.0,10,8,369,5.9,00001901,2
2020-01-07 17:00:00,6.8,4.6,5.0,70,96,9.5,6.2,996.6,1007.0,0.0,0.01,0.0,10,8,563,5.9,00001901,2
2020-01-07 18:00:00,7.0,7.2,5.3,70,96,9.6,6.4,995.1,1005.5,0.0,0.0,0.0,10,8,631,5.9,00001901,4
2020-01-07 19:00:00,7.1,7.2,5.6,70,95,9.5,6.3,993.6,1004.0,0.0,0.0,0.0,10,8,390,6.0,00001901,3
2020-01-07 20:00:00,7.0,7.2,5.3,70,95,9.5,6.2,991.7,1002.0,0.0,0.0,0.0,10,9,649,6.1,00001901,3
2020-01-07 21:00:00,7.2,9.0,4.8,70,95,9.6,6.4,990.6,1000.9,0.0,0.0,0.0,10,8,297,6.3,00001901,1
2020-01-07 22:00:00,7.3,9.0,3.9,90,96,9.7,6.6,989.9,1000.2,0.0,0.0,0.0,10,9,1267,6.3,00001901,1
2020-01-08 00:00:00,7.7,7.1,0.7,90,96,10.0,7.0,987.5,997.8,0.0,0.0,0.0,10,8,379,6.5,00001901,2
2020-01-08 03:00:00,5.0,6.2,5.3,250,95,8.2,4.2,989.9,1000.3,0.0,0.0,0.0,10,8,917,5.3,00001901,1
2020-01-08 04:00:00,3.1,6.2,3.8,250,95,7.2,2.3,991.7,1002.2,0.0,0.0,0.0,10,9,1175,4.2,00001901,1
2020-01-08 06:00:00,1.8,4.0,6.0,270,95,6.6,1.0,995.6,1006.2,0.0,0.0,0.0,10,8,445,2.8,00001901,1
2020-01-08 07:00:00,1.5,4.0,3.2,290,95,6.4,0.7,997.0,1007.6,0.0,0.0,0.0,10,9,790,2.3,00190601,5
2020-01-08 08:00:00,1.6,4.0,2.5,290,95,6.5,0.8,999.2,1009.9,0.0,0.0,0.0,10,9,994,2.6,00001901,5
2020-01-08 09:00:00,2.2,1.4,1.8,290,95,6.8,1.4,1001.3,1011.9,0.0,0.06,0.0,10,9,971,3.3,00001901,13
2020-01-08 10:00:00,2.7,1.4,2.8,290,94,7.0,1.8,1003.1,1013.7,0.0,0.17,0.0,10,9,1270,3.9,00001901,10
2020-01-08 11:00:00,3.1,1.4,2.5,270,91,6.9,1.7,1004.0,1014.6,0.0,0.23,0.0,10,8,923,4.6,00000019,2
2020-01-08 12:00:00,3.2,0.0,3.3,270,87,6.7,1.2,1004.8,1015.4,0.0,0.28,0.0,10,8,515,5.1,00000019,4
2020-01-08 13:00:00,3.4,0.0,2.7,290,85,6.6,1.1,1005.5,1016.1,0.0,0.3,0.0,10,8,466,5.4,00000019,8
2020-01-08 14:00:00,3.6,0.0,2.2,270,83,6.5,0.9,1005.7,1016.3,0.0,0.3,0.0,10,8,514,5.6,00000019,8
2020-01-08 15:00:00,3.9,0.0,1.9,270,80,6.4,0.7,1005.8,1016.4,0.0,0.31,0.0,10,8,828,5.8,00000019,5
2020-01-08 16:00:00,3.9,0.0,1.8,270,80,6.4,0.7,1006.5,1017.1,0.0,0.15,0.0,10,8,721,5.1,00000019,2
2020-01-08 17:00:00,3.9,0.0,2.2,290,81,6.5,0.9,1007.5,1018.1,0.0,0.04,0.0,9,9,631,4.3,00000019,4
2020-01-08 18:00:00,3.4,0.0,3.7,270,83,6.4,0.7,1008.2,1018.9,0.0,0.0,0.0,9,9,370,3.8,00000019,5
2020-01-08 19:00:00,2.3,0.0,4.0,270,83,6.0,-0.2,1009.0,1019.7,0.0,0.0,0.0,10,9,375,3.1,00000019,6
2020-01-08 20:00:00,1.5,0.0,3.3,270,83,5.7,-1.0,1010.1,1020.9,0.0,0.0,0.0,9,9,416,2.6,00000019,1
2020-01-08 21:00:00,0.2,0.0,4.9,270,81,5.0,-2.6,1011.2,1022.0,0.0,0.0,0.0,9,9,482,1.7,00000019,1
2020-01-08 23:00:00,-0.3,0.0,3.1,290,75,4.5,-4.2,1011.9,1022.8,0.0,0.0,0.0,9,9,613,1.1,00000019,1
2020-01-09 07:00:00,-2.3,0.0,1.2,320,74,3.8,-6.3,1013.3,1024.3,0.0,0.0,0.0,2,2,557,-0.3,00000019,9
2020-01-09 08:00:00,-2.8,0.0,2.5,290,75,3.7,-6.6,1013.3,1024.3,0.0,0.0,0.0,1,1,543,-0.6,00000019,10
2020-01-09 09:00:00,-2.7,0.0,1.9,290,73,3.7,-6.8,1013.5,1024.5,0.6,0.19,0.0,2,2,554,-0.5,00000019,10
2020-01-09 10:00:00,-2.1,0.0,2.5,320,68,3.6,-7.2,1014.4,1025.4,1.0,0.52,0.0,4,4,598,-0.2,00004019,14
2020-01-09 11:00:00,-1.6,0.0,3.3,290,63,3.4,-7.7,1014.4,1025.3,1.0,0.91,0.0,4,4,657,-0.1,00000040,2
2020-01-09 12:00:00,-0.7,0.0,3.3,320,57,3.3,-8.1,1013.5,1024.4,1.0,1.54,0.0,0,0,859,0.3,00000040,6
2020-01-09 13:00:00,0.1,0.0,3.6,320,51,3.1,-8.8,1012.7,1023.6,1.0,1.75,0.0,0,0,979,4.0,00000040,9
2020-01-09 14:00:00,1.1,0.0,3.3,290,51,3.4,-7.9,1012.1,1022.9,1.0,1.66,0.0,0,0,915,6.2,00000040,7
2020-01-09 15:00:00,1.7,0.0,2.6,290,49,3.4,-7.8,1012.2,1023.0,1.0,1.33,0.0,0,0,884,5.9,00000040,13
2020-01-09 16:00:00,1.6,0.0,2.2,320,49,3.4,-7.9,1012.5,1023.3,1.0,0.88,0.0,0,0,950,4.1,00000040,5
2020-01-09 17:00:00,0.6,0.0,3.1,290,55,3.5,-7.4,1012.9,1023.7,1.0,0.35,0.0,0,0,896,1.4,00000040,6
2020-01-09 18:00:00,-0.4,0.0,2.6,290,60,3.6,-7.2,1013.3,1024.2,0.1,0.01,0.0,0,0,864,0.4,00000040,4
2020-01-09 19:00:00,-0.8,0.0,3.4,270,61,3.5,-7.3,1013.9,1024.8,0.0,0.0,0.0,0,0,888,0.0,00000040,1
2020-01-09 21:00:00,-1.7,0.0,0.5,320,67,3.6,-7.0,1014.5,1025.5,0.0,0.0,0.0,0,0,769,-0.7,00000040,4
2020-01-09 23:00:00,-2.6,0.0,0.6,320,72,3.6,-6.9,1014.8,1025.8,0.0,0.0,0.0,0,0,641,-1.0,00000040,1
2020-01-11 05:00:00,-2.0,0.0,0.4,0,72,3.8,-6.3,1010.5,1021.4,0.0,0.0,0.0,7,7,680,-1.4,00000040,2
2020-01-11 07:00:00,-2.0,0.0,0.6,320,78,4.1,-5.3,1010.6,1021.5,0.0,0.0,0.0,0,0,602,-2.2,00000040,1
2020-01-11 08:00:00,-2.5,0.0,1.6,20,81,4.1,-5.3,1010.6,1021.5,0.0,0.0,0.0,0,0,536,-2.4,00004019,2
2020-01-11 09:00:00,-2.4,0.0,1.1,20,77,4.0,-5.8,1011.3,1022.2,0.6,0.24,0.0,1,1,502,-1.7,00000019,13
2020-01-11 10:00:00,-1.0,0.0,0.1,0,70,4.0,-5.7,1011.7,1022.6,0.5,0.54,0.0,1,1,520,-0.6,00000019,9
2020-01-11 11:00:00,1.5,0.0,1.5,290,60,4.1,-5.4,1011.3,1022.1,1.0,1.33,0.0,3,3,674,-0.1,00004019,11
2020-01-11 12:00:00,2.6,0.0,1.1,290,52,3.8,-6.2,1010.2,1020.9,1.0,1.62,0.0,1,1,812,0.5,00000040,7
2020-01-11 13:00:00,3.5,0.0,2.7,250,44,3.5,-7.6,1009.3,1020.0,1.0,1.84,0.0,1,0,924,1.9,00000040,13
2020-01-11 14:00:00,3.4,0.0,3.1,320,40,3.1,-8.9,1008.6,1019.3,1.0,1.78,0.0,1,0,1140,4.1,00000040,3
2020-01-11 15:00:00,3.1,0.0,3.2,320,41,3.1,-8.9,1008.2,1018.9,1.0,1.45,0.0,1,0,975,4.0,00000040,9
2020-01-11 16:00:00,3.6,0.0,3.0,290,45,3.6,-7.2,1008.1,1018.8,1.0,0.92,0.0,0,0,845,3.1,00000040,6
2020-01-11 17:00:00,2.3,0.0,2.9,320,51,3.7,-6.8,1007.8,1018.5,1.0,0.38,0.0,1,0,820,0.6,00000040,8
2020-01-11 18:00:00,1.1,0.0,2.9,320,52,3.5,-7.6,1008.2,1019.0,0.0,0.03,0.0,4,0,1004,0.1,00000040,2
2020-01-11 19:00:00,0.2,0.0,1.4,340,53,3.3,-8.2,1008.3,1019.1,0.0,0.0,0.0,6,1,1141,-0.1,00000000,3
2020-01-12 00:00:00,-1.4,0.0,2.4,270,67,3.7,-6.7,1007.9,1018.8,0.0,0.0,0.0,8,0,626,-0.5,00000040,1
2020-01-12 08:00:00,-3.3,0.0,1.7,290,71,3.4,-7.8,1007.1,1018.0,0.0,0.0,0.0,7,7,628,-1.9,00000040,8
2020-01-12 09:00:00,-3.0,0.0,2.2,320,70,3.4,-7.7,1007.6,1018.5,0.5,0.25,0.0,7,3,588,-1.3,00000040,6
2020-01-12 10:00:00,-2.0,0.0,1.7,320,63,3.3,-8.1,1008.3,1019.2,1.0,0.77,0.0,7,0,585,-0.4,00000040,11
2020-01-12 11:00:00,-0.7,0.0,2.3,320,57,3.3,-8.1,1008.2,1019.0,1.0,1.26,0.0,2,0,634,-0.1,00000040,7
2020-01-12 12:00:00,0.4,0.0,3.6,270,47,3.0,-9.6,1007.4,1018.2,1.0,1.51,0.0,1,1,964,0.1,00000040,5
2020-01-12 13:00:00,1.3,0.0,3.0,290,41,2.8,-10.5,1006.8,1017.5,1.0,1.83,0.0,0,0,1156,0.9,00000040,6
2020-01-12 14:00:00,1.9,0.0,3.9,290,41,2.9,-9.9,1006.2,1016.9,1.0,1.76,0.0,1,0,1378,3.4,00000000,11
2020-01-12 15:00:00,2.4,0.0,3.0,290,41,3.0,-9.5,1006.1,1016.8,1.0,1.47,0.0,0,0,1557,4.2,00000000,7
2020-01-12 16:00:00,2.5,0.0,2.8,290,43,3.1,-8.8,1006.3,1017.0,1.0,1.0,0.0,0,0,1588,3.2,00000000,9
2020-01-12 17:00:00,1.1,0.0,3.2,290,53,3.5,-7.4,1006.7,1017.5,1.0,0.45,0.0,1,1,1738,0.6,00000000,4
2020-01-12 18:00:00,0.0,0.0,3.4,270,60,3.7,-6.8,1006.9,1017.7,0.1,0.03,0.0,1,1,1434,0.2,00000000,2
2020-01-12 20:00:00,-0.9,0.0,1.9,290,62,3.6,-7.2,1007.8,1018.6,0.0,0.0,0.0,3,0,1413,-0.5,00000000,2
2020-01-12 21:00:00,-0.9,0.0,2.8,270,62,3.6,-7.2,1008.5,1019.4,0.0,0.0,0.0,0,0,1332,-0.6,00000000,2
2020-01-12 22:00:00,-1.4,0.0,3.0,270,64,3.5,-7.3,1009.2,1020.1,0.0,0.0,0.0,0,0,1228,-0.9,00000000,1
2020-01-13 00:00:00,-2.0,0.0,2.7,270,73,3.8,-6.2,1009.7,1020.6,0.0,0.0,0.0,8,8,941,-0.7,00000040,1
2020-01-13 07:00:00,-4.3,0.0,1.9,270,71,3.2,-8.7,1010.8,1021.8,0.0,0.0,0.0,5,5,1071,-3.0,00000000,12
2020-01-13 08:00:00,-3.9,0.0,3.1,270,71,3.3,-8.3,1011.4,1022.4,0.0,0.0,0.0,3,3,1051,-3.0,00000000,5
2020-01-13 09:00:00,-3.9,0.0,3.7,290,66,3.0,-9.3,1012.2,1023.2,0.0,0.12,0.0,5,5,1150,-2.7,00000000,9
2020-01-13 10:00:00,-3.0,0.0,2.8,290,55,2.7,-10.7,1012.7,1023.7,0.8,0.79,0.0,0,0,1516,-1.9,00000000,10
2020-01-13 11:00:00,-2.2,0.0,2.9,340,54,2.8,-10.2,1013.0,1024.0,1.0,1.45,0.0,1,1,1778,-0.6,00000000,7
2020-01-13 12:00:00,-1.5,0.0,3.4,320,45,2.5,-11.9,1012.7,1023.6,1.0,1.79,0.0,0,0,1593,0.0,00000000,9
2020-01-13 13:00:00,-0.7,0.0,2.8,320,37,2.1,-13.6,1012.0,1022.9,1.0,1.92,0.0,0,0,1632,0.8,00000000,10
2020-01-13 14:00:00,-0.2,0.0,4.5,270,34,2.0,-14.2,1012.3,1023.2,1.0,1.87,0.0,0,0,1910,2.1,00000000,7
2020-01-13 15:00:00,-0.4,0.0,4.3,320,33,2.0,-14.7,1012.5,1023.4,1.0,1.59,0.0,0,0,2000,1.8,00000000,6
2020-01-13 16:00:00,0.0,0.0,3.2,290,30,1.8,-15.5,1012.5,1023.4,1.0,1.1,0.0,0,0,2000,0.7,00000000,11
2020-01-13 17:00:00,-0.9,0.0,3.4,320,30,1.7,-16.3,1012.5,1023.4,1.0,0.49,0.0,0,0,2000,-0.1,00000000,4
2020-01-13 18:00:00,-1.9,0.0,2.4,270,34,1.8,-15.7,1012.9,1023.8,0.3,0.03,0.0,1,0,2000,-0.5,00000000,2
2020-01-13 19:00:00,-2.3,0.0,2.7,270,38,2.0,-14.7,1013.9,1024.9,0.0,0.0,0.0,0,0,1996,-0.8,00000000,1
2020-01-14 00:00:00,-4.4,0.0,0.5,340,46,2.0,-14.3,1014.5,1025.6,0.0,0.0,0.0,2,0,1998,-3.2,00000000,1
2020-01-14 07:00:00,-5.5,0.0,1.7,50,58,2.4,-12.4,1014.9,1026.0,0.0,0.0,0.0,8,8,1540,-3.6,00000000,4
2020-01-14 08:00:00,-5.5,0.0,1.7,50,59,2.4,-12.2,1014.9,1026.0,0.0,0.0,0.0,2,2,1559,-4.0,00000000,4
2020-01-14 09:00:00,-4.6,0.0,2.2,50,57,2.5,-11.8,1014.9,1026.0,0.2,0.19,0.0,1,1,1501,-3.0,00000000,10
2020-01-14 10:00:00,-3.5,0.0,1.3,50,51,2.4,-12.2,1015.4,1026.4,1.0,0.71,0.0,1,1,1309,-1.9,00000000,10
2020-01-14 11:00:00,-1.4,0.0,1.1,110,41,2.3,-12.9,1015.4,1026.3,1.0,1.21,0.0,1,1,1539,-0.5,00000000,7
2020-01-14 12:00:00,0.3,0.0,1.4,290,35,2.2,-13.4,1014.8,1025.7,1.0,1.53,0.0,0,0,1641,0.0,00000000,5
2020-01-14 13:00:00,1.0,0.0,1.8,320,34,2.2,-13.1,1014.0,1024.8,1.0,1.78,0.0,0,0,1506,1.3,00000000,2
2020-01-14 14:00:00,2.0,0.0,2.7,290,30,2.1,-13.8,1013.6,1024.4,1.0,1.69,0.0,0,0,1714,3.2,00000000,16
2020-01-14 15:00:00,2.0,0.0,3.2,320,33,2.3,-12.6,1013.6,1024.4,1.0,1.41,0.0,0,0,1595,2.5,00000000,6
2020-01-14 16:00:00,2.2,0.0,2.4,290,22,1.6,-17.3,1013.9,1024.7,1.0,1.03,0.0,0,0,1994,1.2,00000000,7
2020-01-14 17:00:00,1.0,0.0,1.9,290,23,1.5,-17.8,1014.3,1025.1,1.0,0.48,0.0,0,0,2000,-0.1,00000000,5
2020-01-14 18:00:00,-0.2,0.0,1.9,290,28,1.7,-16.5,1014.9,1025.8,0.3,0.03,0.0,0,0,2000,-0.4,00000000,2
2020-01-14 19:00:00,-0.8,0.0,2.3,320,29,1.7,-16.6,1015.5,1026.4,0.0,0.0,0.0,0,0,2000,-0.7,00000000,2
